Course Link,Title,Short Description,Length,Effort,Price,Institution,Subject,Level,Prerequisites
https://www.edx.org/course/learn-to-program-in-java-2,Learn to Program in Java,Get started on the path to becoming a software engineer by learning core coding skills in Java--one of the most popular programming languages.,4 Weeks,6-10 hours per week,$99 USD,Microsoft,Computer Science,Introductory,None
https://www.edx.org/course/religion-conflict-and-peace,"Religion, Conflict and Peace",Explore the diverse and complex roles that religions play in both promoting and mitigating violence.,8 Weeks,4-8 hours per week,$50 USD,HarvardX,Humanities,Introductory,Missing
https://www.edx.org/course/excel-gestion-de-datos,Excel: gestión de datos,"En este curso profundizarás en las técnicas y herramientas para el tratamiento, manejo y análisis de datos que puedes utilizar en Microsoft Excel para la toma de decisiones.",6 Weeks,4-6 hours per week,$75 USD,UPValenciaX,Computer Science,Intermediate,"Para seguir este curso debes haber completado anteriormente el curso Excel: fundamentos y herramientas, también en edX o tener un nivel intermedio equivalente."
https://www.edx.org/course/nutrition-exercise-and-sports,"Nutrition, Exercise and Sports","Learn about Nutrition, Exercise and Sports and understand how nutrition can support exercise and sports performance.",6 Weeks,4-8 hours per week,$49 USD,WageningenX,Food & Nutrition,Intermediate,Basis knowledge about nutrition.
https://www.edx.org/course/introduction-to-corporate-finance,Introduction to Corporate Finance,"Learn key financial concepts for evaluating and valuing investment opportunities, including how to value stocks and bonds.",4 Weeks,3-4 hours per week,$225 USD,ColumbiaX,Business & Management,Introductory,Students must be familiar with basic concepts of Accounting and possess basic skills in Microsoft Excel (or equivalent.)
https://www.edx.org/course/fundamentals-of-neuroscience-part-3-the-brain,"Fundamentals of Neuroscience, Part 3: The Brain",Discover what makes your brain tick in this third course in our introductory series in neuroscience.,8 Weeks,3-5 hours per week,$99 USD,HarvardX,Biology & Life Sciences,Introductory,None.
https://www.edx.org/course/data-science-productivity-tools,Data Science: Productivity Tools,"Keep your projects organized and produce reproducible reports using GitHub, git, Unix/Linux, and RStudio.",8 Weeks,1-2 hours per week,$49 USD,HarvardX,Data Analysis & Statistics,Introductory,Missing
https://www.edx.org/course/basics-of-computing-and-programming,Basics of Computing and Programming,This is a self-paced course from NYU that provides an Introduction to Computing and Programming,9 Weeks,6-8 hours per week,"₹14,982",NYUx,Computer Science,Introductory,None
https://www.edx.org/course/computer-science-101,Computer Science 101,Introduction to Computer Science for a zero-prior-experience audience. Play with little phrases of code to understand what computers are all about.,6 Weeks,4-6 hours per week,$149 USD,StanfordOnline,Computer Science,Introductory,Zero computer experience is assumed beyond a basic ability to use a web browser.
https://www.edx.org/course/becoming-an-entrepreneur,Becoming an Entrepreneur,"Learn the business skills and startup mindset needed to embark on your entrepreneurial path from the premier program for aspiring entrepreneurs, MIT Launch.",6 Weeks,1-3 hours per week,"₹5,169",MITx,Business & Management,Introductory,None
https://www.edx.org/course/humanitarian-response-to-conflict-and-disaster,Humanitarian Response to Conflict and Disaster,"Learn the principles guiding humanitarian response to modern emergencies, and the challenges faced in the field today.",5 Weeks,3-4 hours per week,$99 USD,HarvardX,Health & Safety,Introductory,None
https://www.edx.org/course/high-dimensional-data-analysis,High-Dimensional Data Analysis,A focus on several techniques that are widely used in the analysis of high-dimensional data.,4 Weeks,2-4 hours per week,$149 USD,HarvardX,Data Analysis & Statistics,Advanced,"PH525.1x and PH525.2x or basic programming, intro to statistics, intro to linear algebra, OR PH525.3x"
https://www.edx.org/course/accounting-and-finance,Accounting and Finance,Develop financial acumen to manage your business successfully.,11 Weeks,2-4 hours per week,"₹11,237",IIMBx,Business & Management,Intermediate,Missing
https://www.edx.org/course/introduction-to-kubernetes,Introduction to Kubernetes,Want to learn Kubernetes? Get an in-depth primer on this powerful system for managing containerized applications.,14 Weeks,2-3 hours per week,$199 USD,LinuxFoundationX,Computer Science,Introductory,"Basic knowledge of Linux Command Line Interface (CLI)
Basic knowledge of container technology like Docker, Rkt is required"
https://www.edx.org/course/html5-and-css-fundamentals,HTML5 and CSS Fundamentals,"Learn how to build Web sites using HTML5 and basic CSS, directly from W3C, creator of the latest Web standards.",6 Weeks,4-6 hours per week,$199 USD,W3Cx,Computer Science,Introductory,None
https://www.edx.org/course/tangible-things-discovering-history-through-artwor,"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You","Gain an understanding of history, museum studies, and curation by looking at, organizing, and interpreting art, artifacts, scientific curiosities, and the stuff of everyday life.",10 Weeks,1-3 hours per week,$49 USD,HarvardX,Humanities,Introductory,Missing
https://www.edx.org/course/data-science-wrangling,Data Science: Wrangling,Learn to process and convert raw data into formats needed for analysis.,8 Weeks,1-2 hours per week,"₹3,671",HarvardX,Data Analysis & Statistics,Introductory,Missing
https://www.edx.org/course/a-hands-on-introduction-to-engineering-simulations,A Hands-on Introduction to Engineering Simulations,Learn how to analyze real-world engineering problems using ANSYS simulation software and gain important professional skills sought by employers.,6 Weeks,4-6 hours per week,$199 USD,CornellX,Engineering,Intermediate,Missing
https://www.edx.org/course/machine-learning-with-python-a-practical-introduct,Machine Learning with Python: A Practical Introduction,Machine Learning can be an incredibly beneficial tool to uncover hidden insights and predict future trends. This Machine Learning with Python course will give you all the tools you need to get started with supervised and unsupervised learning.,5 Weeks,4-6 hours per week,$39 USD,IBM,Data Analysis & Statistics,Introductory,Recommended: Python Basics for Data Science
https://www.edx.org/course/sql-for-data-science,SQL for Data Science,Learn how to use and apply the powerful language of SQL to better communicate and extract data from databases - a must for anyone working in the data science field.,4 Weeks,2-4 hours per week,"₹2,921",IBM,Data Analysis & Statistics,Introductory,Missing
